date,lat,lon,tasmin,tasmax,tas,prtot,prsn
19510101,48.8954,2.39172,271.17,274.39,272.45,1.6e-05,1.47e-05
19510102,48.8954,2.39172,270.39,273.18,272.01,0.0,0.0
19510103,48.8954,2.39172,270.71,273.29,272.22,0.0,0.0
19510104,48.8954,2.39172,271.19,272.4,271.63,0.0,0.0
19510105,48.8954,2.39172,270.6,272.49,271.83,0.0,0.0
19510106,48.8954,2.39172,270.18,272.83,271.38,0.0,0.0
19510107,48.8954,2.39172,271.43,274.07,273.0,7.7e-06,7.7e-06
19510108,48.8954,2.39172,272.01,276.22,274.38,3.76e-05,1.1e-05
19510109,48.8954,2.39172,276.13,278.3,277.37,6.98e-05,0.0
19510110,48.8954,2.39172,277.54,281.82,280.02,9.4e-05,0.0
19510111,48.8954,2.39172,277.36,282.95,279.5,4.47e-05,0.0
19510112,48.8954,2.39172,277.36,283.57,279.4,5.3e-06,0.0
19510113,48.8954,2.39172,276.99,279.3,278.51,1.09e-05,0.0
19510114,48.8954,2.39172,278.7,282.1,280.6,2.03e-05,0.0
19510115,48.8954,2.39172,279.61,282.85,282.04,2.9e-06,0.0
19510116,48.8954,2.39172,280.94,283.66,282.68,0.0001417,0.0
19510117,48.8954,2.39172,276.39,281.82,279.76,0.0001285,0.0
19510118,48.8954,2.39172,276.03,283.31,278.86,1.43e-05,0.0
19510119,48.8954,2.39172,280.38,286.1,283.2,3.17e-05,0.0
19510120,48.8954,2.39172,281.57,285.39,283.59,0.0,0.0
19510121,48.8954,2.39172,279.8,282.23,280.8,0.0001455,0.0
19510122,48.8954,2.39172,279.24,284.67,282.45,8.93e-05,0.0
19510123,48.8954,2.39172,281.31,286.68,283.95,1.62e-05,0.0
19510124,48.8954,2.39172,280.29,282.65,281.76,0.0,0.0
19510125,48.8954,2.39172,279.69,282.94,281.24,0.0,0.0
19510126,48.8954,2.39172,281.01,284.18,282.16,1.28e-05,0.0
19510127,48.8954,2.39172,277.58,281.27,279.43,0.0,0.0
19510128,48.8954,2.39172,273.34,278.99,276.7,0.0,0.0
19510129,48.8954,2.39172,271.87,276.62,273.87,3e-07,3e-07
19510130,48.8954,2.39172,272.08,275.74,274.41,0.0,0.0
19510131,48.8954,2.39172,272.53,276.91,275.72,0.0,0.0
19510201,48.8954,2.39172,273.53,279.61,275.94,0.0,0.0
19510202,48.8954,2.39172,272.98,275.55,274.02,0.0,0.0
19510203,48.8954,2.39172,271.73,278.15,274.73,0.0,0.0
19510204,48.8954,2.39172,273.63,280.11,276.63,0.0,0.0
19510205,48.8954,2.39172,274.73,283.91,279.55,0.0,0.0
19510206,48.8954,2.39172,276.24,283.85,279.7,0.0,0.0
19510207,48.8954,2.39172,274.12,278.33,276.5,0.0,0.0
19510208,48.8954,2.39172,272.84,280.45,275.95,0.0,0.0
19510209,48.8954,2.39172,275.0,280.26,277.18,1.2e-06,0.0
19510210,48.8954,2.39172,277.26,283.63,280.57,0.0,0.0
19510211,48.8954,2.39172,275.88,285.16,279.47,0.0,0.0
19510212,48.8954,2.39172,276.37,281.06,278.76,1.21e-05,0.0
19510213,48.8954,2.39172,276.14,280.29,278.19,0.0,0.0
19510214,48.8954,2.39172,276.63,279.52,278.34,3.58e-05,0.0
19510215,48.8954,2.39172,275.86,278.96,277.56,2.47e-05,0.0
19510216,48.8954,2.39172,278.76,283.47,281.1,1.04e-05,0.0
19510217,48.8954,2.39172,279.31,284.45,282.18,7.08e-05,0.0
19510218,48.8954,2.39172,280.49,283.23,281.92,4.9e-06,0.0
19510219,48.8954,2.39172,280.56,282.35,281.3,1.04e-05,0.0
19510220,48.8954,2.39172,274.86,279.96,277.97,0.0,0.0
19510221,48.8954,2.39172,274.12,283.06,279.03,2.84e-05,0.0
19510222,48.8954,2.39172,281.32,286.76,284.08,1.68e-05,0.0
19510223,48.8954,2.39172,281.92,284.99,283.82,8.84e-05,0.0
19510224,48.8954,2.39172,279.05,281.94,280.49,6.8e-06,0.0
19510225,48.8954,2.39172,274.38,283.18,279.21,0.0,0.0
19510226,48.8954,2.39172,274.43,283.89,278.48,6.35e-05,0.0
19510227,48.8954,2.39172,278.48,282.9,280.69,1.45e-05,0.0
19510228,48.8954,2.39172,278.85,287.62,283.61,0.0,0.0
19510301,48.8954,2.39172,283.46,291.18,286.73,0.0,0.0
19510302,48.8954,2.39172,281.44,283.84,282.27,1.54e-05,0.0
19510303,48.8954,2.39172,278.81,283.4,281.27,1.35e-05,0.0
19510304,48.8954,2.39172,278.7,282.8,280.73,2.57e-05,0.0
19510305,48.8954,2.39172,278.96,281.59,280.17,0.0,0.0
19510306,48.8954,2.39172,277.4,282.5,280.18,0.0,0.0
19510307,48.8954,2.39172,276.9,278.83,278.28,3.85e-05,0.0
19510308,48.8954,2.39172,279.2,284.2,281.89,0.0,0.0
19510309,48.8954,2.39172,281.08,285.89,283.81,5.8e-05,0.0
19510310,48.8954,2.39172,278.26,282.63,280.98,0.0,0.0
19510311,48.8954,2.39172,276.49,282.7,280.49,0.0,0.0
19510312,48.8954,2.39172,277.99,284.1,280.44,0.0,0.0
19510313,48.8954,2.39172,276.86,282.66,279.27,1.65e-05,0.0
19510314,48.8954,2.39172,277.52,282.57,279.69,4.31e-05,0.0
19510315,48.8954,2.39172,277.56,283.58,280.61,7.4e-06,0.0
19510316,48.8954,2.39172,279.75,281.92,280.96,5.11e-05,0.0
19510317,48.8954,2.39172,277.06,281.82,279.39,2e-05,0.0
19510318,48.8954,2.39172,280.93,283.4,282.23,4.98e-05,0.0
19510319,48.8954,2.39172,279.34,282.35,280.63,0.0,0.0
19510320,48.8954,2.39172,275.73,284.71,281.0,0.0,0.0
19510321,48.8954,2.39172,280.68,284.75,283.5,0.0,0.0
19510322,48.8954,2.39172,282.1,288.27,285.17,0.0,0.0
19510323,48.8954,2.39172,282.72,291.99,288.2,7e-06,0.0
19510324,48.8954,2.39172,282.39,284.25,283.16,2.82e-05,1.1e-06
19510325,48.8954,2.39172,278.18,281.76,279.2,3.17e-05,0.0
19510326,48.8954,2.39172,277.7,282.04,280.34,0.0,0.0
19510327,48.8954,2.39172,277.11,282.73,279.41,1.12e-05,0.0
19510328,48.8954,2.39172,278.21,282.46,280.53,2.28e-05,0.0
19510329,48.8954,2.39172,275.94,284.59,280.37,4.69e-05,0.0
19510330,48.8954,2.39172,280.38,291.42,285.21,9.46e-05,0.0
19510331,48.8954,2.39172,282.45,284.92,283.57,1.6e-05,0.0
19510401,48.8954,2.39172,280.79,284.14,283.17,0.0,0.0
19510402,48.8954,2.39172,280.05,285.04,282.42,0.0,0.0
19510403,48.8954,2.39172,278.05,285.17,282.22,2.4e-06,0.0
19510404,48.8954,2.39172,280.93,286.89,284.71,0.0,0.0
19510405,48.8954,2.39172,281.34,287.09,284.18,1.1e-06,1.1e-06
19510406,48.8954,2.39172,280.32,282.98,281.79,0.0,0.0
19510407,48.8954,2.39172,280.44,282.99,281.63,0.0,0.0
19510408,48.8954,2.39172,280.39,287.01,284.46,1.4e-06,0.0
19510409,48.8954,2.39172,284.73,292.45,288.74,5.95e-05,0.0
19510410,48.8954,2.39172,286.97,290.87,289.73,5.55e-05,0.0
